order_no,company_customer_cd,company_item_cd,amount,order_date,status_order
1,1,483,4810,2011/10/19,3
1,1,301,4810,2011/10/19,3
2,1,462,2530,2011/10/19,3
3,1,2440,2230,2011/11/09,3
4,1,2440,2230,2011/11/09,3
5,2,2440,2230,2011/11/09,3
6,2,2440,2230,2011/11/10,3
7,2,2440,2230,2011/11/10,3
8,2,2440,2130,2011/11/10,3
9,3,3433,2329,2011/11/30,3
10,,1989,6305,2011/12/01,5
11,2,3258,6295,2011/12/02,3
12,1,3258,3305,2011/12/02,3
13,,3030,1195,2011/12/02,3
14,,3010,2955,2011/12/02,3
14,,3012,2955,2011/12/02,3
15,2,3081,1295,2011/12/02,3
16,,1987,6305,2011/12/02,3
17,2,3050,1195,2011/12/02,3
18,,3179,1595,2011/12/05,5
19,2,2084,1295,2011/12/07,3
20,2,4423,2295,2011/12/07,3
21,4,3519,1195,2011/12/07,3
22,2,4464,3305,2011/12/07,3
23,,3121,1295,2011/12/07,5
24,,8588,1575,2011/12/08,3
25,2,3516,1195,2011/12/08,3
26,6,3099,995,2011/12/08,5
27,,2855,8540,2011/12/11,5
27,,1073,8540,2011/12/11,5
27,,9618,8540,2011/12/11,5
28,,3546,1195,2011/12/11,5
29,8,3095,1575,2011/12/12,5
29,8,9183,1575,2011/12/12,5
30,4,9643,1195,2011/12/16,3
31,4,10771,1695,2011/12/16,3
32,4,9580,1695,2011/12/16,3
33,4,2345,4305,2011/12/16,3
34,4,3091,1295,2011/12/16,3
35,4,2346,4305,2011/12/16,3
36,,10449,1895,2011/12/17,5
37,,10912,6990,2011/12/18,1
38,,10898,8800,2011/12/18,1
38,,10543,8800,2011/12/18,1
39,,10604,1195,2011/12/18,5
40,14,11487,1975,2011/12/21,5
41,,11507,2795,2011/12/22,5
42,,1533,2295,2011/12/23,3
43,2,11360,1595,2011/12/26,3
44,2,11711,1995,2011/12/26,3
45,2,11711,1995,2011/12/26,3
46,2,11712,1995,2011/12/26,3
47,,3118,1295,2011/12/27,5
48,18,10932,4575,2011/12/27,5
48,18,10488,4575,2011/12/27,5
49,19,3081,3155,2011/12/28,3
49,19,11964,3155,2011/12/28,3
50,20,3088,1295,2011/12/28,3
51,21,3260,5275,2011/12/28,3
52,22,3087,3055,2011/12/28,3
52,22,12045,3055,2011/12/28,3
53,23,3131,1295,2011/12/28,3
54,26,3126,1295,2011/12/29,3
55,27,3091,1295,2011/12/29,3
56,,3156,1295,2012/01/02,5
57,4,12936,1695,2012/01/05,3
58,,3108,1295,2012/01/06,5
59,36,3086,1295,2012/01/06,3
60,37,3017,1195,2012/01/06,3
61,38,13492,2955,2012/01/06,3
61,38,14120,2955,2012/01/06,3
62,38,3086,1295,2012/01/06,3
64,,14037,2295,2012/01/06,5
65,40,3131,2375,2012/01/07,5
65,40,12252,2375,2012/01/07,5
66,,12788,1475,2012/01/09,5
66,,9941,1475,2012/01/09,5
67,,12484,7230,2012/01/10,5
67,,12734,7230,2012/01/10,5
67,,12146,7230,2012/01/10,5
67,,12213,7230,2012/01/10,5
68,2,3086,1295,2012/01/10,3
69,2,3086,1295,2012/01/10,3
70,2,3086,1295,2012/01/10,3
71,46,13316,1575,2012/01/11,5
71,46,13620,1575,2012/01/11,5
72,47,14463,1780,2012/01/11,5
73,46,14137,3305,2012/01/11,5
74,49,14453,1995,2012/01/12,5
75,50,12932,5100,2012/01/12,5
75,50,12788,5100,2012/01/12,5
75,50,14465,5100,2012/01/12,5
75,50,12919,5100,2012/01/12,5
75,50,12764,5100,2012/01/12,5
75,50,13289,5100,2012/01/12,5
76,54,14414,7370,2012/01/13,5
76,54,14737,7370,2012/01/13,5
77,2,8736,1995,2012/01/13,3
78,2,3086,1295,2012/01/13,3
79,2,3086,1295,2012/01/13,3
80,55,13334,995,2012/01/13,5
81,56,13832,2660,2012/01/14,5
81,56,13580,2660,2012/01/14,5
82,,14818,2275,2012/01/14,5
82,,14830,2275,2012/01/14,5
83,57,12758,3540,2012/01/14,5
83,57,14215,3540,2012/01/14,5
83,57,11557,3540,2012/01/14,5
84,,14752,9280,2012/01/14,5
84,,2932,9280,2012/01/14,5
84,,11129,9280,2012/01/14,5
84,,9941,9280,2012/01/14,5
84,,11762,9280,2012/01/14,5
84,,14472,9280,2012/01/14,5
84,,14461,9280,2012/01/14,5
85,59,12755,2960,2012/01/15,5
85,59,12796,2960,2012/01/15,5
86,60,14080,5340,2012/01/15,5
86,60,14071,5340,2012/01/15,5
86,60,14949,5340,2012/01/15,5
87,,14228,980,2012/01/16,5
88,,3111,2275,2012/01/16,3
89,66,13842,5720,2012/01/17,5
89,66,13227,5720,2012/01/17,5
89,66,13618,5720,2012/01/17,5
89,66,15626,5720,2012/01/17,5
90,68,14948,2280,2012/01/17,5
91,72,13274,5540,2012/01/18,5
91,72,15892,5540,2012/01/18,5
91,72,14497,5540,2012/01/18,5
92,,14413,3995,2012/01/18,5
93,,13628,5250,2012/01/18,1
